"Rut-DV","Codigo_Tipo_Doc","Folio_Doc","TpoTranCompra","Codigo_IVA_E_Imptos"
"76839797-K","33","26185","6","1"
"77048999-7","33","2435","6","1"
"76839797-K","33","26239","6","1"
"76481742-7","33","5507","6","1"
"76411321-7","33","19110930","6","1"
"99509000-7","33","1014527","6","1"
"77190661-3","33","72408","6","1"
"76006366-5","33","448199","6","1"
"76354698-5","33","24770","6","1"
"84609600-0","33","266737","6","1"
"78898690-4","33","11638","6","1"
"77240826-9","33","4861","6","1"
"76058647-1","33","6925304","6","1"
"76839797-K","33","26443","6","1"
"97006000-6","33","24209883","6","1"
"99037000-1","33","2450644","6","1"
"76074214-7","33","28006","6","1"
"76579749-7","33","4431","6","1"
"77190661-3","33","76775","6","1"
"76114143-0","33","8510741","6","1"
"76573560-2","33","8654","6","1"
"76362119-7","33","404187","6","1"
"76532425-4","33","11897","6","1"
"76362119-7","33","404651","6","1"
"99147000-K","33","12130923","6","1"
"76669611-2","33","417","6","1"
"76114143-0","33","8539451","6","1"
"76114143-1","33","8539451","6","1"
"76114143-2","33","8539451","6","1"
"76114143-3","33","8539451","6","1"
"76114143-4","33","8539451","6","1"
"76114143-5","33","8539451","6","1"
"76114143-6","33","8539451","6","1"
"76114143-7","33","8539451","6","1"
"76114143-8","33","8539451","6","1"
"76114143-9","33","8539451","6","1"
"76114143-10","33","8539451","6","1"
"76114143-11","33","8539451","6","1"
"76114143-12","33","8539451","6","1"
"76114143-13","33","8539451","6","1"
"76114143-14","33","8539451","6","1"
"76114143-15","33","8539451","6","1"
"76114143-16","33","8539451","6","1"
"76114143-17","33","8539451","6","1"
"76114143-18","33","8539451","6","1"
"76114143-19","33","8539451","6","1"
"76114143-20","33","8539451","6","1"
"76114143-21","33","8539451","6","1"
"76114143-22","33","8539451","6","1"
"76114143-23","33","8539451","6","1"
"76114143-24","33","8539451","6","1"
"76114143-25","33","8539451","6","1"
"76114143-26","33","8539451","6","1"
"76114143-27","33","8539451","6","1"
"76114143-28","33","8539451","6","1"
"76114143-29","33","8539451","6","1"
"76114143-30","33","8539451","6","1"
"76114143-31","33","8539451","6","1"
"76114143-32","33","8539451","6","1"
"76114143-33","33","8539451","6","1"
"76114143-34","33","8539451","6","1"
"76114143-35","33","8539451","6","1"
"76114143-36","33","8539451","6","1"
"76114143-37","33","8539451","6","1"
"76114143-38","33","8539451","6","1"
"76114143-39","33","8539451","6","1"
"76114143-40","33","8539451","6","1"
